iter	Passed	Remaining
0	1	121
1	2	107
2	3	98
3	3	87
4	4	83
5	5	78
6	5	76
7	6	75
8	7	74
9	8	74
10	9	73
11	10	74
12	10	72
13	11	70
14	12	68
15	12	67
16	13	66
17	14	65
18	14	63
19	15	62
20	16	61
21	16	59
22	17	58
23	18	58
24	19	57
25	20	57
26	20	56
27	21	55
28	22	54
29	23	53
30	23	52
31	24	52
32	25	52
33	26	51
34	27	50
35	28	50
36	28	49
37	29	48
38	30	47
39	30	46
40	31	45
41	31	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	77	0
